Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
IL17RA,Brain Cortex,PTSD,Inverse variance weighted,2,0.901, NA,NA,1,NA,0.008522698
LINC01422,Brain Cortex,PTSD,Inverse variance weighted,2,1.486, NA,NA,1,NA,0.031524686
SGSM3,Brain Cortex,PTSD,Inverse variance weighted,2,1.038, NA,NA,1,NA,0.008052124
TPTEP2,Brain Cortex,PTSD,Inverse variance weighted,2,1.008, NA,NA,1,NA,0.007451007
P2RX6P,Brain Cortex,PTSD,Inverse variance weighted,2,0.979, NA,NA,1,NA,0.017339146
HDHD5,Brain Cortex,PTSD,MR Egger,4,0.393, NA,1,0.641460831,NA,0.036285221
TRABD,Brain Cortex,PTSD,Inverse variance weighted,2,1.069, NA,NA,1,NA,0.014671314
TRMT2A,Brain Cortex,PTSD,Inverse variance weighted,2,0.723, NA,NA,1,NA,0.02209727
AP000356.3,Brain Cortex,PTSD,MR Egger,4,0.743, NA,1,0.605841212,NA,0.012219182
ADA2,Brain Cortex,PTSD,Inverse variance weighted,2,1.247, NA,NA,1,NA,0.013185226
TUBGCP6,Brain Cortex,PTSD,Inverse variance weighted,2,1.061, NA,NA,1,NA,0.014671314
EFCAB6,Brain Cortex,PTSD,Inverse variance weighted,2,0.974, NA,NA,1,NA,0.012060878
PI4KA,Brain Cortex,PTSD,Inverse variance weighted,2,0.915, NA,NA,1,NA,0.011050832
GAS2L1,Brain Cortex,PTSD,Inverse variance weighted,2,1.044, NA,NA,1,NA,0.009982512
TBC1D22A,Brain Cortex,PTSD,MR Egger,4,0.978, NA,1,0.999858499,NA,0.009687091
BCRP3,Brain Cortex,PTSD,Inverse variance weighted,2,1.003, NA,NA,1,NA,0.009263952
WBP2NL,Brain Cortex,PTSD,Inverse variance weighted,2,0.758, NA,NA,1,NA,0.014203352
LRP5L,Brain Cortex,PTSD,Inverse variance weighted,2,0.941, NA,NA,1,NA,0.010584297
CYP2D7P1,Brain Cortex,PTSD,Inverse variance weighted,2,0.922, NA,NA,1,NA,0.014193765
Z95115.1,Brain Cortex,PTSD,Inverse variance weighted,2,0.71, NA,NA,1,NA,0.027812539
TFIP11,Brain Cortex,PTSD,Inverse variance weighted,2,0.795, NA,NA,1,NA,0.027812539
APOL3,Brain Cortex,PTSD,Inverse variance weighted,2,0.929, NA,NA,1,NA,0.01115319
NIPSNAP1,Brain Cortex,PTSD,MR Egger,4,0.448, NA,1,0.072363956,NA,0.019595447
TANGO2,Brain Cortex,PTSD,Inverse variance weighted,2,0.76, NA,NA,1,NA,0.02209727
TUBA8,Brain Cortex,PTSD,Inverse variance weighted,2,1.331, NA,NA,1,NA,0.095170106
AP1B1,Brain Cortex,PTSD,Inverse variance weighted,2,0.949, NA,NA,1,NA,0.009937337
RANBP1,Brain Cortex,PTSD,Inverse variance weighted,2,0.816, NA,NA,1,NA,0.02209727
