Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
FLOT1,Brain Substantia nigra,SCZ,Wald ratio,1,1.08,1.45E-27,NA,NA,NA,1
ZSCAN26,Brain Hippocampus,SCZ,Wald ratio,1,1.126,4.60E-26,NA,NA,NA,0.999989442
NT5C2,Brain Cortex,SCZ,Inverse variance weighted,2,0.678,4.22E-19,NA,0.501991387,NA,0.999999951
ZSCAN23,Brain Cortex,SCZ,Inverse variance weighted,3,1.297,7.29E-18,0.162458638,0.37673327,0.983920039,0.999993548
ARL3,Brain Cortex,SCZ,Wald ratio,1,0.656,2.72E-17,NA,NA,NA,0.999970831
ZSCAN26,Brain Cortex,SCZ,Wald ratio,1,0.333,2.60E-16,NA,NA,NA,0.999999995
ZSCAN16-AS1,Brain Cortex,SCZ,Wald ratio,1,0.586,2.60E-16,NA,NA,NA,1
RP1-313I6.12,Brain Cortex,SCZ,Wald ratio,1,0.783,2.60E-16,NA,NA,NA,1
LINC00240,Brain Hypothalamus,SCZ,Wald ratio,1,1.129,4.22E-16,NA,NA,NA,0.904281358
NT5DC2,Brain Cortex,SCZ,Wald ratio,1,1.424,1.36E-15,NA,NA,NA,0.999999995
GNL3,Brain Cortex,SCZ,Wald ratio,1,0.651,1.36E-15,NA,NA,NA,0.999992538
SPCS1,Brain Cortex,SCZ,Wald ratio,1,1.541,1.36E-15,NA,NA,NA,1
PBRM1,Brain Cortex,SCZ,Wald ratio,1,1.254,1.36E-15,NA,NA,NA,1
NEK4,Brain Cortex,SCZ,Wald ratio,1,1.513,1.36E-15,NA,NA,NA,0.999992375
DPYD,Brain Cortex,SCZ,Wald ratio,1,1.259,2.22E-14,NA,NA,NA,1
MPHOSPH9,Brain Nucleus accumbens basal ganglia,SCZ,Wald ratio,1,1.121,5.89E-14,NA,NA,NA,0.989062863
SNORC,Brain Hypothalamus,SCZ,Wald ratio,1,1.122,1.44E-13,NA,NA,NA,0.981538486
BTN3A1,Brain Hypothalamus,SCZ,Wald ratio,1,0.902,2.00E-13,NA,NA,NA,0.999997378
BTN3A1,Brain Spinal cord cervical,SCZ,Wald ratio,1,0.901,2.00E-13,NA,NA,NA,0.999986556
BAG6,Brain Putamen basal ganglia,SCZ,Wald ratio,1,1.085,4.35E-13,NA,NA,NA,0.999999886
PSMA4,Brain Putamen basal ganglia,SCZ,Wald ratio,1,0.901,7.35E-13,NA,NA,NA,0.995661269
PSMA4,Brain Cortex,SCZ,Wald ratio,1,0.89,9.05E-13,NA,NA,NA,0.999999998
MTCH2,Brain Nucleus accumbens basal ganglia,SCZ,Wald ratio,1,0.831,3.08E-12,NA,NA,NA,0.782985045
MRM2,Brain Nucleus accumbens basal ganglia,SCZ,Wald ratio,1,0.933,1.62E-11,NA,NA,NA,0.999999968
MRM2,Brain Substantia nigra,SCZ,Wald ratio,1,0.936,1.62E-11,NA,NA,NA,0.999999862
MRM2,Brain Hypothalamus,SCZ,Wald ratio,1,0.93,2.55E-11,NA,NA,NA,0.99999995
MRM2,Brain Putamen basal ganglia,SCZ,Wald ratio,1,0.927,2.55E-11,NA,NA,NA,0.999997746
FTSJ2,Brain Cortex,SCZ,Wald ratio,1,0.86,3.28E-11,NA,NA,NA,0.999999935
MAD1L1,Brain Cortex,SCZ,Wald ratio,1,0.73,3.28E-11,NA,NA,NA,0.999999907
MRM2,Brain Hippocampus,SCZ,Wald ratio,1,0.916,4.29E-11,NA,NA,NA,0.999989091
UNC45A,Brain Nucleus accumbens basal ganglia,SCZ,Wald ratio,1,1.105,5.20E-11,NA,NA,NA,0.993905306
FES,Brain Cortex,SCZ,Wald ratio,1,0.803,6.01E-11,NA,NA,NA,0.999999885
COA8,Brain Spinal cord cervical,SCZ,Wald ratio,1,1.055,7.00E-11,NA,NA,NA,0.99999986
KLC1,Brain Spinal cord cervical,SCZ,Wald ratio,1,1.055,7.00E-11,NA,NA,NA,0.99999986
PLCL1,Brain Hippocampus,SCZ,Wald ratio,1,1.097,1.88E-10,NA,NA,NA,0.998580866
KLC1,Brain Cortex,SCZ,Wald ratio,1,1.249,1.89E-10,NA,NA,NA,0.999999649
COA8,Brain Cortex,SCZ,Wald ratio,1,1.346,1.89E-10,NA,NA,NA,0.999999649
PPP1R13B,Brain Cortex,SCZ,Wald ratio,1,1.177,1.89E-10,NA,NA,NA,0.999999649
MARK3,Brain Cortex,SCZ,Wald ratio,1,2.743,1.89E-10,NA,NA,NA,0.999995861
ZFYVE21,Brain Cortex,SCZ,Wald ratio,1,0.782,1.89E-10,NA,NA,NA,0.999999649
TDRD9,Brain Cortex,SCZ,Wald ratio,1,1.263,1.89E-10,NA,NA,NA,0.999998657
XRCC3,Brain Cortex,SCZ,Wald ratio,1,0.708,1.89E-10,NA,NA,NA,0.999970974
OGFOD2,Brain Cortex,SCZ,Wald ratio,1,2.18,2.45E-10,NA,NA,NA,0.999999557
PITPNM2,Brain Cortex,SCZ,Wald ratio,1,3.337,2.45E-10,NA,NA,NA,0.999964895
KMT5A,Brain Cortex,SCZ,Wald ratio,1,2.217,2.45E-10,NA,NA,NA,0.999999557
MPHOSPH9,Brain Cortex,SCZ,Wald ratio,1,2.282,2.45E-10,NA,NA,NA,0.999999557
ABCB9,Brain Cortex,SCZ,Wald ratio,1,0.784,2.45E-10,NA,NA,NA,0.999999419
C12orf65,Brain Cortex,SCZ,Wald ratio,1,1.32,2.45E-10,NA,NA,NA,0.99999464
