Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
CDC20,Microglia,ADHD,Wald ratio,1,1.483,1.20E-14,NA,NA,NA,0.090382377
PTPRF,Astrocytes,ADHD,Wald ratio,1,1.485,2.43E-13,NA,NA,NA,0.104926468
PPIH,Oligodendrocytes,ADHD,Wald ratio,1,1.255,2.31E-10,NA,NA,NA,0.118591679
SLC6A9,Astrocytes,ADHD,Wald ratio,1,1.316,3.39E-10,NA,NA,NA,0.104312027
ST3GAL3,Endothelial cells,ADHD,Wald ratio,1,1.366,4.73E-10,NA,NA,NA,0.085416838
LINC02060,Astrocytes,ADHD,Wald ratio,1,1.217,3.11E-09,NA,NA,NA,0.561266992
EIF2B3,Astrocytes,ADHD,Wald ratio,1,0.73,7.80E-09,NA,NA,NA,0.085253889
RECQL4,Inhibitory neurons,ADHD,Wald ratio,1,1.311,1.77E-08,NA,NA,NA,0.09525003
LSM6,DA_D30,ADHD,Wald ratio,1,0.866,2.02E-08,NA,NA,NA,0.999969164
LSM6,FPP_D11,ADHD,Wald ratio,1,0.877,2.02E-08,NA,NA,NA,0.999969567
LSM6,P_FPP_D11,ADHD,Wald ratio,1,0.864,2.02E-08,NA,NA,NA,0.999969567
LSM6,DA_D52_ROT,ADHD,Wald ratio,1,0.935,2.27E-08,NA,NA,NA,0.999965952
AC090833.1,OPCs / COPs,ADHD,Wald ratio,1,1.197,2.58E-08,NA,NA,NA,0.085881357
RUNX1T1,Inhibitory neurons,ADHD,Wald ratio,1,0.77,3.16E-08,NA,NA,NA,0.090735565
LSM6,Oligodendrocytes,ADHD,Wald ratio,1,1.198,4.24E-08,NA,NA,NA,0.221291998
LSM6,Excitatory neurons,ADHD,Wald ratio,1,1.179,4.24E-08,NA,NA,NA,0.999936677
LSM6,Astrocytes,ADHD,Wald ratio,1,1.257,4.24E-08,NA,NA,NA,0.118244909
MED8,DA_D30,ADHD,Wald ratio,1,0.76,6.42E-08,NA,NA,NA,0.999803756
MED8,Sert_D30,ADHD,Wald ratio,1,0.83,6.42E-08,NA,NA,NA,0.9993595
SCRT1,Inhibitory neurons,ADHD,Wald ratio,1,1.463,6.58E-08,NA,NA,NA,0.076919617
PIDD1,Excitatory neurons,ADHD,Wald ratio,1,1.374,1.32E-07,NA,NA,NA,0.360415133
MED8,Sert_D52_ROT,ADHD,Wald ratio,1,0.875,1.61E-07,NA,NA,NA,0.999571853
MED8,FPP_D30,ADHD,Wald ratio,1,0.851,1.61E-07,NA,NA,NA,0.999764908
CDC20,Epen1_D30,ADHD,Wald ratio,1,1.089,1.61E-07,NA,NA,NA,0.999765207
MED8,P_FPP_D11,ADHD,Wald ratio,1,0.889,1.61E-07,NA,NA,NA,0.999765207
TIE1,Oligodendrocytes,ADHD,Wald ratio,1,1.185,1.70E-07,NA,NA,NA,0.085633807
ELOVL1,Oligodendrocytes,ADHD,Wald ratio,1,1.411,1.70E-07,NA,NA,NA,0.181959712
MED8,Epen1_D52,ADHD,Wald ratio,1,0.852,1.70E-07,NA,NA,NA,0.999677104
MED8,FPP_D11,ADHD,Wald ratio,1,0.893,1.70E-07,NA,NA,NA,0.999751462
MED8,Sert_D52,ADHD,Wald ratio,1,0.89,1.70E-07,NA,NA,NA,0.999748296
HYAL3,Endothelial cells,ADHD,Wald ratio,1,0.852,1.75E-07,NA,NA,NA,0.072279146
LINC01550,Astrocytes,ADHD,Wald ratio,1,1.254,2.79E-07,NA,NA,NA,0.094962642
MED8,Oligodendrocytes,ADHD,Wald ratio,1,0.664,3.13E-07,NA,NA,NA,0.070333724
U73166.1,Astrocytes,ADHD,Wald ratio,1,1.293,3.97E-07,NA,NA,NA,0.060438458
GMPPB,Astrocytes,ADHD,Wald ratio,1,1.188,3.97E-07,NA,NA,NA,0.485836334
HEMK1,Microglia,ADHD,Wald ratio,1,0.838,5.73E-07,NA,NA,NA,0.060912014
RNF123,Oligodendrocytes,ADHD,Wald ratio,1,1.259,7.12E-07,NA,NA,NA,0.04588324
PNPLA2,Excitatory neurons,ADHD,Wald ratio,1,0.831,8.92E-07,NA,NA,NA,0.922447546
TYW1B,Microglia,ADHD,Wald ratio,1,1.257,1.10E-06,NA,NA,NA,0.037760733
AC025171.4,Oligodendrocytes,ADHD,Wald ratio,1,0.799,1.12E-06,NA,NA,NA,0.036621901
RBM5,OPCs / COPs,ADHD,Wald ratio,1,1.226,1.15E-06,NA,NA,NA,0.04755
YBX1,Endothelial cells,ADHD,Wald ratio,1,1.307,1.22E-06,NA,NA,NA,0.041082801
KCNH5,Inhibitory neurons,ADHD,Wald ratio,1,0.821,1.30E-06,NA,NA,NA,0.033318941
DDIT4L,Inhibitory neurons,ADHD,Wald ratio,1,0.854,1.31E-06,NA,NA,NA,0.034887411
AP001816.1,Excitatory neurons,ADHD,Wald ratio,1,0.695,1.47E-06,NA,NA,NA,0.035654138
PDIA6,Excitatory neurons,ADHD,Wald ratio,1,0.852,1.75E-06,NA,NA,NA,0.415755163
LSM6,Inhibitory neurons,ADHD,Wald ratio,1,1.129,1.92E-06,NA,NA,NA,0.980925143
RCOR1,Astrocytes,ADHD,Wald ratio,1,0.76,2.18E-06,NA,NA,NA,0.029535408
HYAL3,Excitatory neurons,ADHD,Wald ratio,1,0.864,2.46E-06,NA,NA,NA,0.98858422
HYAL3,Epen1_D30,ADHD,Wald ratio,1,1.113,2.46E-06,NA,NA,NA,0.996102383
