Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
APOC2,Lymphocyte,ALZ,Wald ratio,1,0.916,5.51E-13,NA,NA,NA,0.999999999
APOC4,Lymphocyte,ALZ,Wald ratio,1,0.919,5.51E-13,NA,NA,NA,0.999969765
CLPTM1,Lymphocyte,ALZ,Wald ratio,1,0.594,5.51E-13,NA,NA,NA,0.999999999
CD2AP,Lymphocyte,ALZ,Wald ratio,1,0.919,1.58E-09,NA,NA,NA,0.99999766
SIX5,Lymphocyte,ALZ,Wald ratio,1,0.911,6.71E-09,NA,NA,NA,0.999989431
DMPK,Lymphocyte,ALZ,Wald ratio,1,0.891,6.71E-09,NA,NA,NA,0.999989431
NKPD1,Lymphocyte,ALZ,Wald ratio,1,0.933,1.40E-07,NA,NA,NA,0.999828301
CD33,Lymphocyte,ALZ,Wald ratio,1,0.859,1.75E-06,NA,NA,NA,0.997753527
IQCK,Lymphocyte,ALZ,Wald ratio,1,1.068,1.14E-05,NA,NA,NA,0.9898152
MIER2,Lymphocyte,ALZ,Wald ratio,1,0.944,2.45E-05,NA,NA,NA,0.978988489
SH3D20,Lymphocyte,ALZ,Wald ratio,1,1.081,4.62E-05,NA,NA,NA,0.963063284
PFDN1,Lymphocyte,ALZ,Wald ratio,1,0.862,6.07E-05,NA,NA,NA,0.938221705
SLC24A4,Lymphocyte,ALZ,Wald ratio,1,0.798,9.05E-05,NA,NA,NA,0.942893317
ARL6IP4,Lymphocyte,ALZ,Wald ratio,1,2.305,1.08E-04,NA,NA,NA,0.906520779
ABCB9,Lymphocyte,ALZ,Wald ratio,1,1.045,1.08E-04,NA,NA,NA,0.906422949
PRKD2,Lymphocyte,ALZ,Wald ratio,1,1.043,1.72E-04,NA,NA,NA,0.849775421
PVR,Lymphocyte,ALZ,Wald ratio,1,1.123,1.86E-04,NA,NA,NA,0.891729813
CD302,Lymphocyte,ALZ,Wald ratio,1,1.095,2.04E-04,NA,NA,NA,0.82659969
PACSIN1,Lymphocyte,ALZ,Wald ratio,1,1.07,2.12E-04,NA,NA,NA,0.867157572
TREML2,Lymphocyte,ALZ,Wald ratio,1,1.117,2.82E-04,NA,NA,NA,0.786642728
ADAM10,Lymphocyte,ALZ,Wald ratio,1,1.056,3.69E-04,NA,NA,NA,0.800029929
LIPC,Lymphocyte,ALZ,Wald ratio,1,1.13,3.69E-04,NA,NA,NA,0.800031975
IGF2BP3,Lymphocyte,ALZ,Wald ratio,1,1.415,5.84E-04,NA,NA,NA,0.64076989
BFSP1,Lymphocyte,ALZ,Wald ratio,1,1.639,6.13E-04,NA,NA,NA,0.637109298
RRBP1,Lymphocyte,ALZ,Wald ratio,1,1.041,6.13E-04,NA,NA,NA,0.637213237
