Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
AHRR,Lymphocyte,ANX,Wald ratio,1,1.249,6.87E-04,NA,NA,NA,0.241984855
PNPLA5,Lymphocyte,ANX,Wald ratio,1,1.136,3.21E-03,NA,NA,NA,0.480611513
C21orf58,Lymphocyte,ANX,Wald ratio,1,0.923,4.23E-03,NA,NA,NA,0.470277542
CDH1,Lymphocyte,ANX,Wald ratio,1,1.207,8.21E-03,NA,NA,NA,5.72E-05
ODF1,Lymphocyte,ANX,Wald ratio,1,1.082,1.09E-02,NA,NA,NA,3.53E-05
SRPK2,Lymphocyte,ANX,Wald ratio,1,1.132,1.21E-02,NA,NA,NA,0.250702883
ANKRD12,Lymphocyte,ANX,Wald ratio,1,1.115,1.22E-02,NA,NA,NA,0.192690177
PIGL,Lymphocyte,ANX,Wald ratio,1,0.925,1.36E-02,NA,NA,NA,0.058378508
GUCY1A3,Lymphocyte,ANX,Wald ratio,1,1.146,1.38E-02,NA,NA,NA,0.008807534
EXOSC9,Lymphocyte,ANX,Wald ratio,1,1.116,1.50E-02,NA,NA,NA,0.026594055
SPINT2,Lymphocyte,ANX,Wald ratio,1,0.906,1.55E-02,NA,NA,NA,0.125893863
ANKRD33B,Lymphocyte,ANX,Wald ratio,1,0.839,1.63E-02,NA,NA,NA,0.182175039
TRIM14,Lymphocyte,ANX,Wald ratio,1,0.93,1.84E-02,NA,NA,NA,0.189055247
GRM8,Lymphocyte,ANX,Wald ratio,1,1.059,1.94E-02,NA,NA,NA,0.163484013
PLEKHA7,Lymphocyte,ANX,Wald ratio,1,0.928,2.22E-02,NA,NA,NA,0.003045291
C17orf97,Lymphocyte,ANX,Wald ratio,1,1.074,2.46E-02,NA,NA,NA,0.171006079
PRM1,Lymphocyte,ANX,Wald ratio,1,0.924,2.49E-02,NA,NA,NA,5.19E-05
AC005592.2,Lymphocyte,ANX,Wald ratio,1,0.939,2.65E-02,NA,NA,NA,0.13888659
WDSUB1,Lymphocyte,ANX,Wald ratio,1,0.907,2.92E-02,NA,NA,NA,0.021826905
CHST11,Lymphocyte,ANX,Wald ratio,1,0.944,3.18E-02,NA,NA,NA,0.116777992
BTN3A2,Lymphocyte,ANX,Wald ratio,1,1.08,3.41E-02,NA,NA,NA,0.156193379
DHTKD1,Lymphocyte,ANX,Wald ratio,1,0.885,3.49E-02,NA,NA,NA,0.007568235
APOBEC3H,Lymphocyte,ANX,Wald ratio,1,0.913,3.63E-02,NA,NA,NA,0.116168123
LRRK1,Lymphocyte,ANX,Wald ratio,1,0.936,3.67E-02,NA,NA,NA,0.110101062
ALOX5,Lymphocyte,ANX,Wald ratio,1,1.07,3.78E-02,NA,NA,NA,0.125383426
PARP15,Lymphocyte,ANX,Wald ratio,1,0.95,3.95E-02,NA,NA,NA,7.66E-05
TTN,Lymphocyte,ANX,Wald ratio,1,1.094,4.06E-02,NA,NA,NA,0.009188001
ANKRD13D,Lymphocyte,ANX,Wald ratio,1,1.082,4.14E-02,NA,NA,NA,7.25E-05
NOX3,Lymphocyte,ANX,Wald ratio,1,0.882,4.50E-02,NA,NA,NA,0.024497176
KLC1,Lymphocyte,ANX,Wald ratio,1,0.932,4.55E-02,NA,NA,NA,0.101671347
AC068610.5,Lymphocyte,ANX,Wald ratio,1,1.046,4.67E-02,NA,NA,NA,0.000278436
BHLHE23,Lymphocyte,ANX,Wald ratio,1,0.92,5.04E-02,NA,NA,NA,0.000362772
USP3,Lymphocyte,ANX,Wald ratio,1,0.915,5.23E-02,NA,NA,NA,0.083694566
RBM47,Lymphocyte,ANX,Wald ratio,1,1.058,5.57E-02,NA,NA,NA,0.000240225
SNX10,Lymphocyte,ANX,Wald ratio,1,1.066,5.71E-02,NA,NA,NA,0.077189373
LLGL2,Lymphocyte,ANX,Wald ratio,1,0.944,5.78E-02,NA,NA,NA,0.075376561
MAP3K2,Lymphocyte,ANX,Wald ratio,1,1.068,5.84E-02,NA,NA,NA,0.003675223
NT5DC2,Lymphocyte,ANX,Wald ratio,1,0.888,5.84E-02,NA,NA,NA,0.079819628
MCOLN2,Lymphocyte,ANX,Wald ratio,1,1.065,6.15E-02,NA,NA,NA,0.069280246
SND1,Lymphocyte,ANX,Wald ratio,1,0.895,6.25E-02,NA,NA,NA,0.051210192
LRRC16A,Lymphocyte,ANX,Wald ratio,1,0.957,6.25E-02,NA,NA,NA,0.068230645
HSPA4,Lymphocyte,ANX,Wald ratio,1,1.068,6.47E-02,NA,NA,NA,0.047619526
CTA-373H7.7,Lymphocyte,ANX,Wald ratio,1,1.094,6.50E-02,NA,NA,NA,0.016195512
AC064834.2,Lymphocyte,ANX,Wald ratio,1,1.087,6.52E-02,NA,NA,NA,0.013943509
CD244,Lymphocyte,ANX,Wald ratio,1,1.091,6.83E-02,NA,NA,NA,0.0167284
AC007386.2,Lymphocyte,ANX,Wald ratio,1,1.177,6.89E-02,NA,NA,NA,0.086104353
ARSB,Lymphocyte,ANX,Wald ratio,1,0.923,6.99E-02,NA,NA,NA,0.001464555
ZDHHC13,Lymphocyte,ANX,Wald ratio,1,1.072,7.05E-02,NA,NA,NA,0.013750978
IKZF1,Lymphocyte,ANX,Wald ratio,1,0.927,7.19E-02,NA,NA,NA,0.003315252
NINJ2,Lymphocyte,ANX,Wald ratio,1,1.099,7.75E-02,NA,NA,NA,0.055749424
CYP4F9P,Lymphocyte,ANX,Wald ratio,1,0.915,7.90E-02,NA,NA,NA,1.17E-05
SMG1,Lymphocyte,ANX,Wald ratio,1,0.946,8.01E-02,NA,NA,NA,0.014823671
ZNF767,Lymphocyte,ANX,Wald ratio,1,0.919,8.08E-02,NA,NA,NA,0.061544782
TRAK1,Lymphocyte,ANX,Wald ratio,1,1.028,8.13E-02,NA,NA,NA,6.81E-05
SP100,Lymphocyte,ANX,Wald ratio,1,0.932,8.48E-02,NA,NA,NA,0.056502365
LINC00243,Lymphocyte,ANX,Wald ratio,1,1.301,8.98E-02,NA,NA,NA,0.028782533
ENPP7,Lymphocyte,ANX,Wald ratio,1,0.968,9.01E-02,NA,NA,NA,0.06400971
TGFBR3,Lymphocyte,ANX,Wald ratio,1,1.07,9.04E-02,NA,NA,NA,0.053121157
ZNF568,Lymphocyte,ANX,Wald ratio,1,0.961,9.51E-02,NA,NA,NA,0.048283705
HECW2,Lymphocyte,ANX,Wald ratio,1,0.919,9.53E-02,NA,NA,NA,0.016980494
AGA,Lymphocyte,ANX,Wald ratio,1,1.048,9.70E-02,NA,NA,NA,0.009351444
GCH1,Lymphocyte,ANX,Wald ratio,1,1.125,9.88E-02,NA,NA,NA,0.048206277
OXNAD1,Lymphocyte,ANX,Wald ratio,1,0.975,1.03E-01,NA,NA,NA,0.001017427
MYO5A,Lymphocyte,ANX,Wald ratio,1,1.053,1.03E-01,NA,NA,NA,0.058791207
RP11-179A10.1,Lymphocyte,ANX,Wald ratio,1,0.957,1.03E-01,NA,NA,NA,0.011220661
MYO1D,Lymphocyte,ANX,Wald ratio,1,1.058,1.06E-01,NA,NA,NA,1.11E-05
TMPRSS9,Lymphocyte,ANX,Wald ratio,1,1.045,1.09E-01,NA,NA,NA,0.000511695
TSPAN18,Lymphocyte,ANX,Wald ratio,1,1.063,1.10E-01,NA,NA,NA,0.005645033
PREX1,Lymphocyte,ANX,Wald ratio,1,0.922,1.12E-01,NA,NA,NA,0.036487454
ARHGAP22,Lymphocyte,ANX,Wald ratio,1,0.96,1.13E-01,NA,NA,NA,0.002437572
RP11-693J15.3,Lymphocyte,ANX,Wald ratio,1,1.033,1.13E-01,NA,NA,NA,0.043187837
BTD,Lymphocyte,ANX,Wald ratio,1,1.04,1.15E-01,NA,NA,NA,0.002932574
DLG2,Lymphocyte,ANX,Wald ratio,1,1.075,1.16E-01,NA,NA,NA,0.024952429
LINC00423,Lymphocyte,ANX,Wald ratio,1,0.893,1.17E-01,NA,NA,NA,0.061324806
GNA12,Lymphocyte,ANX,Wald ratio,1,1.039,1.17E-01,NA,NA,NA,0.000761048
XYLT1,Lymphocyte,ANX,Wald ratio,1,1.083,1.21E-01,NA,NA,NA,0.009703483
LINC00940,Lymphocyte,ANX,Wald ratio,1,0.912,1.23E-01,NA,NA,NA,0.00448195
CHST11,Lymphocyte,ANX,Inverse variance weighted,2,0.961,1.24E-01,NA,0.241898457,NA,0.116777992
ELP3,Lymphocyte,ANX,Wald ratio,1,1.047,1.25E-01,NA,NA,NA,0.000187638
PGS1,Lymphocyte,ANX,Wald ratio,1,1.179,1.25E-01,NA,NA,NA,0.021458451
ARHGEF19,Lymphocyte,ANX,Wald ratio,1,1.068,1.25E-01,NA,NA,NA,0.035812172
SSH1,Lymphocyte,ANX,Wald ratio,1,0.957,1.26E-01,NA,NA,NA,1.14E-05
AGO3,Lymphocyte,ANX,Wald ratio,1,0.951,1.31E-01,NA,NA,NA,0.00688569
CCDC36,Lymphocyte,ANX,Wald ratio,1,1.043,1.32E-01,NA,NA,NA,0.033658753
FMNL2,Lymphocyte,ANX,Wald ratio,1,1.057,1.32E-01,NA,NA,NA,0.004117742
LAMC1,Lymphocyte,ANX,Wald ratio,1,0.935,1.34E-01,NA,NA,NA,0.003587887
RP11-473I1.6,Lymphocyte,ANX,Wald ratio,1,0.935,1.37E-01,NA,NA,NA,6.28E-05
