Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
NEDD4L,Sert_D52,ASD,Wald ratio,1,1.145,3.93E-06,NA,NA,NA,0.996606293
CASP8,Excitatory neurons,ASD,Wald ratio,1,1.098,1.27E-05,NA,NA,NA,0.990040106
KANSL1,OPCs / COPs,ASD,Wald ratio,1,1.058,1.78E-05,NA,NA,NA,0.987814654
KANSL1,Microglia,ASD,Wald ratio,1,1.076,1.78E-05,NA,NA,NA,0.987805937
RNPC3,Oligodendrocytes,ASD,Wald ratio,1,0.637,2.25E-05,NA,NA,NA,0.004268582
AL356272.1,Excitatory neurons,ASD,Wald ratio,1,0.71,2.54E-05,NA,NA,NA,0.005201845
ABCA1,Endothelial cells,ASD,Wald ratio,1,1.193,3.36E-05,NA,NA,NA,0.010633993
ABHD13,OPCs / COPs,ASD,Wald ratio,1,0.806,6.67E-05,NA,NA,NA,0.0024814
ARL17B,Epen1_D52,ASD,Wald ratio,1,1.086,7.28E-05,NA,NA,NA,0.956681009
KANSL1-AS1,P_FPP_D11,ASD,Wald ratio,1,1.055,7.28E-05,NA,NA,NA,0.956681009
LIFR,Oligodendrocytes,ASD,Wald ratio,1,1.267,1.84E-04,NA,NA,NA,0.008260095
APBA3,Astrocytes,ASD,Wald ratio,1,1.312,1.95E-04,NA,NA,NA,0.000749875
CTSB,FPP_D30,ASD,Wald ratio,1,1.143,2.25E-04,NA,NA,NA,0.872217518
CTSB,Sert_D30,ASD,Wald ratio,1,1.157,2.25E-04,NA,NA,NA,0.872217019
CTSB,Sert_D52,ASD,Wald ratio,1,1.095,2.25E-04,NA,NA,NA,0.872217518
CTSB,Sert_D52_ROT,ASD,Wald ratio,1,1.101,2.25E-04,NA,NA,NA,0.872217518
ESYT2,Pericytes,ASD,Wald ratio,1,0.868,2.44E-04,NA,NA,NA,0.000927914
MANBA,Oligodendrocytes,ASD,Wald ratio,1,1.203,2.46E-04,NA,NA,NA,0.00677191
DNM1,Excitatory neurons,ASD,Wald ratio,1,1.274,2.68E-04,NA,NA,NA,0.065973665
XYLT1,Astrocytes,ASD,Wald ratio,1,0.781,3.08E-04,NA,NA,NA,0.000588033
SPDYE2,Excitatory neurons,ASD,Wald ratio,1,1.256,3.18E-04,NA,NA,NA,0.004430082
SLC25A21-AS1,Sert_D52,ASD,Wald ratio,1,1.175,3.27E-04,NA,NA,NA,0.816003617
HMMR,Oligodendrocytes,ASD,Wald ratio,1,1.182,3.43E-04,NA,NA,NA,0.000805145
DZIP3,OPCs / COPs,ASD,Wald ratio,1,0.789,3.72E-04,NA,NA,NA,0.000452673
DACT2,Oligodendrocytes,ASD,Wald ratio,1,0.883,4.42E-04,NA,NA,NA,0.000928316
TMEM33,Inhibitory neurons,ASD,Wald ratio,1,1.381,4.78E-04,NA,NA,NA,0.001283689
TMEM33,Excitatory neurons,ASD,Wald ratio,1,1.806,4.78E-04,NA,NA,NA,0.004659135
NADK2,Inhibitory neurons,ASD,Wald ratio,1,1.31,5.06E-04,NA,NA,NA,0.00055463
LIN52,DA_D52,ASD,Wald ratio,1,1.092,5.07E-04,NA,NA,NA,0.751845482
LIN52,DA_D52_ROT,ASD,Wald ratio,1,1.129,5.07E-04,NA,NA,NA,0.751531729
LIN52,FPP_D11,ASD,Wald ratio,1,1.139,5.07E-04,NA,NA,NA,0.721851574
ALDH1A1,Astrocytes,ASD,Wald ratio,1,1.296,5.86E-04,NA,NA,NA,0.000260019
LINC00998,P_FPP_D11,ASD,Wald ratio,1,0.772,6.34E-04,NA,NA,NA,0.732784861
AC026780.2,Inhibitory neurons,ASD,Wald ratio,1,0.846,6.80E-04,NA,NA,NA,0.000387977
TSHZ1,Oligodendrocytes,ASD,Wald ratio,1,0.767,7.73E-04,NA,NA,NA,0.000334614
LINC00909,Pericytes,ASD,Wald ratio,1,1.172,7.73E-04,NA,NA,NA,0.000517277
PPIL4,Oligodendrocytes,ASD,Wald ratio,1,1.153,7.85E-04,NA,NA,NA,0.000669575
AURKA,Oligodendrocytes,ASD,Wald ratio,1,1.144,9.14E-04,NA,NA,NA,0.000206114
GCAT,Sert_D52_ROT,ASD,Wald ratio,1,1.094,9.30E-04,NA,NA,NA,0.632309709
GPR125,FPP_D30,ASD,Wald ratio,1,0.739,9.56E-04,NA,NA,NA,0.615078047
IRF2BPL,OPCs / COPs,ASD,Wald ratio,1,1.205,1.08E-03,NA,NA,NA,0.000174555
AC046136.1,OPCs / COPs,ASD,Wald ratio,1,1.194,1.09E-03,NA,NA,NA,0.000222766
MPPE1,Microglia,ASD,Wald ratio,1,0.887,1.15E-03,NA,NA,NA,0.59100671
MPPE1,Oligodendrocytes,ASD,Wald ratio,1,0.929,1.15E-03,NA,NA,NA,0.591054938
MPPE1,OPCs / COPs,ASD,Wald ratio,1,0.876,1.15E-03,NA,NA,NA,0.1618173
MPPE1,Excitatory neurons,ASD,Wald ratio,1,0.912,1.15E-03,NA,NA,NA,0.59105494
MPPE1,Endothelial cells,ASD,Wald ratio,1,0.834,1.15E-03,NA,NA,NA,0.00018903
MPPE1,Inhibitory neurons,ASD,Wald ratio,1,0.904,1.15E-03,NA,NA,NA,0.590656108
MPPE1,Astrocytes,ASD,Wald ratio,1,0.921,1.15E-03,NA,NA,NA,0.591011318
AC118553.2,Astrocytes,ASD,Wald ratio,1,0.822,1.23E-03,NA,NA,NA,0.000253053
EBAG9,Oligodendrocytes,ASD,Wald ratio,1,1.308,1.28E-03,NA,NA,NA,0.00022544
POU3F2,OPCs / COPs,ASD,Wald ratio,1,0.777,1.29E-03,NA,NA,NA,0.000125063
TAF5,Pericytes,ASD,Wald ratio,1,0.887,1.31E-03,NA,NA,NA,0.00014038
FBXL14,Oligodendrocytes,ASD,Wald ratio,1,0.833,1.33E-03,NA,NA,NA,0.000276169
CNTNAP5,Excitatory neurons,ASD,Wald ratio,1,0.728,1.37E-03,NA,NA,NA,0.000258384
GPR27,Inhibitory neurons,ASD,Wald ratio,1,0.769,1.42E-03,NA,NA,NA,0.000111401
AJ006995.1,Inhibitory neurons,ASD,Wald ratio,1,1.217,1.45E-03,NA,NA,NA,0.000181554
MYH7,Epen1_D52_ROT,ASD,Wald ratio,1,0.935,1.48E-03,NA,NA,NA,0.558656945
MYH7,Epen1_D52,ASD,Wald ratio,1,0.932,1.48E-03,NA,NA,NA,0.558657751
PLEKHF2,Inhibitory neurons,ASD,Wald ratio,1,1.175,1.64E-03,NA,NA,NA,0.000120177
SH3BP5,FPP_D11,ASD,Wald ratio,1,1.134,1.69E-03,NA,NA,NA,0.570710974
TRAF3IP1,Endothelial cells,ASD,Wald ratio,1,1.127,1.77E-03,NA,NA,NA,0.000171821
NFATC3,Astrocytes,ASD,Wald ratio,1,0.714,1.82E-03,NA,NA,NA,0.000176362
NFATC3,Oligodendrocytes,ASD,Wald ratio,1,0.623,1.82E-03,NA,NA,NA,0.000177817
MGAT5B,Excitatory neurons,ASD,Wald ratio,1,1.262,1.88E-03,NA,NA,NA,0.001853377
SLC25A21,Excitatory neurons,ASD,Wald ratio,1,0.812,1.89E-03,NA,NA,NA,0.000581473
SMARCD3,Inhibitory neurons,ASD,Wald ratio,1,1.248,1.96E-03,NA,NA,NA,0.000121147
BAZ2A,Oligodendrocytes,ASD,Wald ratio,1,1.201,2.06E-03,NA,NA,NA,0.000271689
LRP1,Astrocytes,ASD,Wald ratio,1,1.278,2.06E-03,NA,NA,NA,8.16E-05
AC093655.1,Inhibitory neurons,ASD,Wald ratio,1,0.859,2.08E-03,NA,NA,NA,0.000518004
TMEM65,FPP_D11,ASD,Wald ratio,1,1.257,2.16E-03,NA,NA,NA,0.500283039
LSMEM1,Endothelial cells,ASD,Wald ratio,1,0.862,2.17E-03,NA,NA,NA,0.000172778
BET1L,Inhibitory neurons,ASD,Wald ratio,1,1.211,2.25E-03,NA,NA,NA,0.00021639
SH2D4B,Astrocytes,ASD,Wald ratio,1,1.201,2.37E-03,NA,NA,NA,7.53E-05
HP,Astrocytes,ASD,Wald ratio,1,1.055,2.52E-03,NA,NA,NA,0.400654917
USHBP1,Microglia,ASD,Wald ratio,1,1.331,2.62E-03,NA,NA,NA,0.000127675
LY6H,Sert_D30,ASD,Wald ratio,1,0.898,2.70E-03,NA,NA,NA,0.380561762
SDK1,Astrocytes,ASD,Wald ratio,1,0.909,2.86E-03,NA,NA,NA,0.124077793
PAICS,Oligodendrocytes,ASD,Wald ratio,1,1.223,2.87E-03,NA,NA,NA,7.08E-05
MTLN,Excitatory neurons,ASD,Wald ratio,1,1.34,2.90E-03,NA,NA,NA,6.27E-05
SLC9B1,Sert_D52,ASD,Wald ratio,1,0.885,2.90E-03,NA,NA,NA,0.362645679
KNSTRN,Excitatory neurons,ASD,Wald ratio,1,0.939,2.97E-03,NA,NA,NA,0.446610818
KNSTRN,Inhibitory neurons,ASD,Wald ratio,1,0.935,2.97E-03,NA,NA,NA,0.127100689
POLL,Pericytes,ASD,Wald ratio,1,0.89,3.02E-03,NA,NA,NA,0.00013714
TOB2,Endothelial cells,ASD,Wald ratio,1,0.85,3.07E-03,NA,NA,NA,9.28E-05
SMR3A,Astro_D52,ASD,Wald ratio,1,0.927,3.08E-03,NA,NA,NA,0.369765288
NARS2,Astrocytes,ASD,Wald ratio,1,1.154,3.13E-03,NA,NA,NA,6.72E-05
TMCO3,FPP_D30,ASD,Wald ratio,1,0.898,3.20E-03,NA,NA,NA,0.364389616
RHCE,Sert_D52,ASD,Wald ratio,1,0.935,3.25E-03,NA,NA,NA,0.343471604
RHCE,Sert_D30,ASD,Wald ratio,1,0.855,3.25E-03,NA,NA,NA,0.267129802
RHCE,Epen1_D52,ASD,Wald ratio,1,0.905,3.25E-03,NA,NA,NA,0.341970199
NCALD,OPCs / COPs,ASD,Wald ratio,1,0.904,3.35E-03,NA,NA,NA,0.028836041
SNRPD1,Sert_D52_ROT,ASD,Wald ratio,1,1.125,3.41E-03,NA,NA,NA,0.281471002
MTOR,Astrocytes,ASD,Wald ratio,1,0.852,3.42E-03,NA,NA,NA,0.000104637
FAM241A,Oligodendrocytes,ASD,Wald ratio,1,1.205,3.42E-03,NA,NA,NA,0.000106454
PXDNL,Microglia,ASD,Wald ratio,1,1.145,3.47E-03,NA,NA,NA,8.03E-05
SHISAL2B,Inhibitory neurons,ASD,Wald ratio,1,1.101,3.47E-03,NA,NA,NA,0.000385485
BCL10,Excitatory neurons,ASD,Wald ratio,1,0.794,3.49E-03,NA,NA,NA,0.00010849
C1orf226,Excitatory neurons,ASD,Wald ratio,1,0.852,3.55E-03,NA,NA,NA,7.19E-05
ATF6,Inhibitory neurons,ASD,Wald ratio,1,0.854,3.55E-03,NA,NA,NA,0.000121465
ASNS,Excitatory neurons,ASD,Wald ratio,1,0.759,3.57E-03,NA,NA,NA,7.60E-05
USP7,FPP_D30,ASD,Wald ratio,1,0.811,3.58E-03,NA,NA,NA,0.335431119
