Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
FADS2,Oligodendrocytes,BP,Wald ratio,1,0.851,2.92E-11,NA,NA,NA,0.896049762
FADS1,Oligodendrocytes,BP,Wald ratio,1,0.838,2.92E-11,NA,NA,NA,0.978636681
TMEM258,FPP_D11,BP,Wald ratio,1,2.121,2.62E-10,NA,NA,NA,0.999999552
FURIN,Excitatory neurons,BP,Wald ratio,1,0.763,3.49E-09,NA,NA,NA,0.770845091
PLEC,Inhibitory neurons,BP,Wald ratio,1,0.825,6.08E-09,NA,NA,NA,0.985015802
HOMER1,Excitatory neurons,BP,Wald ratio,1,1.224,1.60E-08,NA,NA,NA,0.419463908
POU3F2,OPCs / COPs,BP,Wald ratio,1,0.751,5.07E-08,NA,NA,NA,0.084594646
TRPT1,Epen1_D52,BP,Wald ratio,1,1.129,6.65E-08,NA,NA,NA,0.999375595
LINC01068,Oligodendrocytes,BP,Wald ratio,1,0.922,1.42E-07,NA,NA,NA,0.999789994
GNL3,Epen1_D52_ROT,BP,Wald ratio,1,1.125,3.09E-07,NA,NA,NA,0.999537337
HS1BP3,Endothelial cells,BP,Wald ratio,1,0.89,4.38E-07,NA,NA,NA,0.058047136
SHISA9,Inhibitory neurons,BP,Wald ratio,1,0.744,5.18E-07,NA,NA,NA,0.054069768
LINC01934,Excitatory neurons,BP,Wald ratio,1,1.148,5.46E-07,NA,NA,NA,0.975079949
SLIT3,Pericytes,BP,Wald ratio,1,1.138,8.39E-07,NA,NA,NA,0.048694541
KCNN3,Excitatory neurons,BP,Wald ratio,1,0.772,1.49E-06,NA,NA,NA,0.467351333
B3GNT1,FPP_D11,BP,Wald ratio,1,1.296,2.28E-06,NA,NA,NA,0.92906308
GOLGA6L10,Excitatory neurons,BP,Wald ratio,1,1.077,2.34E-06,NA,NA,NA,0.997389196
SLF1,Excitatory neurons,BP,Wald ratio,1,0.792,2.37E-06,NA,NA,NA,0.074296226
LRRC57,Excitatory neurons,BP,Wald ratio,1,1.138,2.55E-06,NA,NA,NA,0.747421094
KIAA1143,FPP_D11,BP,Wald ratio,1,1.095,3.01E-06,NA,NA,NA,0.996014603
