Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
SLC12A5,Excitatory neurons,DEP,Wald ratio,1,1.144,2.51E-10,NA,NA,NA,0.95084134
NEGR1,OPCs / COPs,DEP,Wald ratio,1,1.111,1.76E-09,NA,NA,NA,0.906526846
BTN2A2,P_FPP_D11,DEP,Wald ratio,1,0.945,5.76E-09,NA,NA,NA,0.999982734
BTN2A2,FPP_D11,DEP,Wald ratio,1,0.942,5.76E-09,NA,NA,NA,0.999970785
COP1,Oligodendrocytes,DEP,Wald ratio,1,0.904,5.95E-09,NA,NA,NA,0.992779124
SPATA6,OPCs / COPs,DEP,Wald ratio,1,0.882,1.66E-08,NA,NA,NA,0.092445808
BTN3A1,Microglia,DEP,Wald ratio,1,0.921,2.09E-08,NA,NA,NA,0.148399787
SHISA9,Inhibitory neurons,DEP,Wald ratio,1,0.86,4.52E-08,NA,NA,NA,0.07768582
YLPM1,Oligodendrocytes,DEP,Wald ratio,1,1.055,8.85E-08,NA,NA,NA,0.999645076
LRRIQ3,Pericytes,DEP,Wald ratio,1,1.085,1.30E-07,NA,NA,NA,0.071563291
SGIP1,Sert_D52,DEP,Wald ratio,1,1.085,2.48E-07,NA,NA,NA,0.997810372
AL450423.1,Excitatory neurons,DEP,Wald ratio,1,0.968,6.40E-07,NA,NA,NA,0.998227134
B3GLCT,Excitatory neurons,DEP,Wald ratio,1,0.922,2.30E-06,NA,NA,NA,0.236247803
LINC01289,Excitatory neurons,DEP,Wald ratio,1,1.084,2.75E-06,NA,NA,NA,0.014477541
NOD2,Microglia,DEP,Wald ratio,1,1.096,4.41E-06,NA,NA,NA,0.01557026
RETNLB,Sert_D52_ROT,DEP,Wald ratio,1,1.026,9.22E-06,NA,NA,NA,0.977097
RETNLB,Sert_D30,DEP,Wald ratio,1,1.026,9.22E-06,NA,NA,NA,0.977097459
RETNLB,Sert_D52,DEP,Wald ratio,1,1.027,9.22E-06,NA,NA,NA,0.977097459
AC026367.3,Excitatory neurons,DEP,Wald ratio,1,0.957,1.39E-05,NA,NA,NA,0.29999442
RBMS2,FPP_D11,DEP,Wald ratio,1,1.043,1.77E-05,NA,NA,NA,0.95974083
MAN1A2,Inhibitory neurons,DEP,Wald ratio,1,1.072,2.49E-05,NA,NA,NA,0.071614583
ABCC6,Excitatory neurons,DEP,Wald ratio,1,0.894,3.94E-05,NA,NA,NA,0.001617222
ACVR1B,P_FPP_D11,DEP,Wald ratio,1,1.054,4.88E-05,NA,NA,NA,0.902898886
LINC01954,Excitatory neurons,DEP,Wald ratio,1,1.026,5.22E-05,NA,NA,NA,0.88688926
FURIN,Excitatory neurons,DEP,Wald ratio,1,0.919,5.22E-05,NA,NA,NA,0.025561603
CSTF3,Inhibitory neurons,DEP,Wald ratio,1,1.149,5.78E-05,NA,NA,NA,0.001605565
