Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
TRIM33,Lymphocyte,ED,Wald ratio,1,1.062,1.22E-04,NA,NA,NA,0.921049695
ST6GALNAC3,Lymphocyte,ED,Weighted median,3,0.94,2.72E-04,0.73026941,0.112274494,0.287379103,0.07189616
DENND2D,Lymphocyte,ED,Wald ratio,1,0.947,7.71E-03,NA,NA,NA,0.205318121
ST6GALNAC3,Lymphocyte,ED,Inverse variance weighted,3,0.95,1.30E-02,0.73026941,0.112274494,0.287379103,0.07189616
KPRP,Lymphocyte,ED,Wald ratio,1,1.054,1.43E-02,NA,NA,NA,0.121576172
MORN1,Lymphocyte,ED,Inverse variance weighted,2,1.034,1.99E-02,NA,0.461757,NA,0.012319121
ADC,Lymphocyte,ED,Wald ratio,1,1.039,2.12E-02,NA,NA,NA,0.09920916
GSTM5,Lymphocyte,ED,Wald ratio,1,1.148,2.33E-02,NA,NA,NA,0.085529391
TSPAN2,Lymphocyte,ED,Wald ratio,1,0.899,2.40E-02,NA,NA,NA,0.087039942
CA6,Lymphocyte,ED,Wald ratio,1,1.11,2.44E-02,NA,NA,NA,0.077775969
FAM46C,Lymphocyte,ED,Wald ratio,1,1.086,2.69E-02,NA,NA,NA,0.135219425
GJB3,Lymphocyte,ED,Wald ratio,1,0.934,4.20E-02,NA,NA,NA,0.073802299
GNAI3,Lymphocyte,ED,Wald ratio,1,0.964,4.24E-02,NA,NA,NA,0.061722639
CHD5,Lymphocyte,ED,Wald ratio,1,0.952,5.05E-02,NA,NA,NA,0.049749143
MACF1,Lymphocyte,ED,Wald ratio,1,0.957,5.59E-02,NA,NA,NA,0.04014603
AKIRIN1,Lymphocyte,ED,Wald ratio,1,0.794,5.59E-02,NA,NA,NA,0.04014603
NDUFS5,Lymphocyte,ED,Wald ratio,1,0.968,5.59E-02,NA,NA,NA,0.038720056
ST6GALNAC3,Lymphocyte,ED,Weighted mode,3,0.938,6.42E-02,0.73026941,0.112274494,0.287379103,0.07189616
CCBL2,Lymphocyte,ED,Wald ratio,1,1.031,7.37E-02,NA,NA,NA,0.03362006
PEAR1,Lymphocyte,ED,Wald ratio,1,1.237,8.36E-02,NA,NA,NA,0.037672245
NTRK1,Lymphocyte,ED,Wald ratio,1,1.047,8.36E-02,NA,NA,NA,0.037672245
FOXD2,Lymphocyte,ED,Wald ratio,1,1.031,8.53E-02,NA,NA,NA,0.02787935
VANGL1,Lymphocyte,ED,Wald ratio,1,0.951,9.07E-02,NA,NA,NA,0.053732106
RPRD2,Lymphocyte,ED,Wald ratio,1,1.04,9.43E-02,NA,NA,NA,0.039664345
C1orf51,Lymphocyte,ED,Wald ratio,1,1.049,9.43E-02,NA,NA,NA,0.039664292
UBE2J2,Lymphocyte,ED,Wald ratio,1,1.06,1.01E-01,NA,NA,NA,0.059061863
LOC441869,Lymphocyte,ED,Wald ratio,1,1.068,1.01E-01,NA,NA,NA,0.059065853
LOC100128842,Lymphocyte,ED,Wald ratio,1,1.084,1.01E-01,NA,NA,NA,0.05903638
DVL1,Lymphocyte,ED,Wald ratio,1,1.06,1.01E-01,NA,NA,NA,0.059016244
MXRA8,Lymphocyte,ED,Wald ratio,1,1.18,1.01E-01,NA,NA,NA,0.059065922
PUSL1,Lymphocyte,ED,Wald ratio,1,1.063,1.01E-01,NA,NA,NA,0.059053992
SCNN1D,Lymphocyte,ED,Wald ratio,1,1.06,1.01E-01,NA,NA,NA,0.059065921
TNFRSF18,Lymphocyte,ED,Wald ratio,1,1.61,1.01E-01,NA,NA,NA,0.059065922
TTLL10,Lymphocyte,ED,Wald ratio,1,1.077,1.01E-01,NA,NA,NA,0.059056725
ST6GALNAC3,Lymphocyte,ED,Simple mode,3,0.939,1.05E-01,0.73026941,0.112274494,0.287379103,0.07189616
FCER1A,Lymphocyte,ED,Wald ratio,1,0.976,1.28E-01,NA,NA,NA,0.022771905
COL9A2,Lymphocyte,ED,Wald ratio,1,0.937,1.49E-01,NA,NA,NA,0.020487075
SPATA6,Lymphocyte,ED,Wald ratio,1,0.927,1.57E-01,NA,NA,NA,0.024908173
CAMTA1,Lymphocyte,ED,Weighted median,3,1.021,1.87E-01,0.00047696,0.001378414,0.825059745,0.223456835
ST6GALNAC3,Lymphocyte,ED,MR Egger,3,0.88,1.92E-01,0.73026941,0.112274494,0.287379103,0.07189616
CD1A,Lymphocyte,ED,Wald ratio,1,0.98,2.03E-01,NA,NA,NA,0.015718068
CAMTA1,Lymphocyte,ED,Simple mode,3,1.033,2.22E-01,0.00047696,0.001378414,0.825059745,0.223456835
NPHP4,Lymphocyte,ED,Wald ratio,1,0.979,2.49E-01,NA,NA,NA,0.017389256
PRDM16,Lymphocyte,ED,MR Egger,3,0.729,2.66E-01,0.834020525,0.073288013,0.263486244,0.049933703
H6PD,Lymphocyte,ED,Wald ratio,1,0.969,2.70E-01,NA,NA,NA,0.01474025
CAMTA1,Lymphocyte,ED,Weighted mode,3,1.035,2.74E-01,0.00047696,0.001378414,0.825059745,0.223456835
OSCP1,Lymphocyte,ED,Wald ratio,1,0.96,2.75E-01,NA,NA,NA,0.014551831
UTP11L,Lymphocyte,ED,Wald ratio,1,0.935,2.83E-01,NA,NA,NA,0.011898956
HIAT1,Lymphocyte,ED,Wald ratio,1,1.045,2.90E-01,NA,NA,NA,0.027295732
GJA5,Lymphocyte,ED,Wald ratio,1,1.038,3.02E-01,NA,NA,NA,0.013270037
CD1D,Lymphocyte,ED,Wald ratio,1,1.027,3.07E-01,NA,NA,NA,0.018680492
GNG12,Lymphocyte,ED,Inverse variance weighted,2,1.094,3.09E-01,NA,0.026821098,NA,0.018838361
LOC648740,Lymphocyte,ED,Wald ratio,1,0.967,3.28E-01,NA,NA,NA,0.025514411
AK3L1,Lymphocyte,ED,Wald ratio,1,1.068,3.46E-01,NA,NA,NA,0.020542273
KCNA10,Lymphocyte,ED,Wald ratio,1,1.014,3.81E-01,NA,NA,NA,0.00991328
BEST4,Lymphocyte,ED,Wald ratio,1,0.987,3.91E-01,NA,NA,NA,0.009673301
PTCH2,Lymphocyte,ED,Wald ratio,1,0.985,3.91E-01,NA,NA,NA,0.010040657
SNORD38A,Lymphocyte,ED,Wald ratio,1,0.972,3.91E-01,NA,NA,NA,0.010040451
KIF2C,Lymphocyte,ED,Wald ratio,1,0.864,3.91E-01,NA,NA,NA,0.010040657
ATP1A4,Lymphocyte,ED,Wald ratio,1,0.977,4.14E-01,NA,NA,NA,0.013459811
ATP1A2,Lymphocyte,ED,Wald ratio,1,0.984,4.14E-01,NA,NA,NA,0.013461391
C1orf70,Lymphocyte,ED,Wald ratio,1,0.946,4.27E-01,NA,NA,NA,0.011449323
VWA1,Lymphocyte,ED,Wald ratio,1,0.982,4.27E-01,NA,NA,NA,0.011449323
TMEM88B,Lymphocyte,ED,Wald ratio,1,0.983,4.27E-01,NA,NA,NA,0.011155044
SSU72,Lymphocyte,ED,Wald ratio,1,0.985,4.27E-01,NA,NA,NA,0.011449323
ATAD3A,Lymphocyte,ED,Wald ratio,1,0.984,4.27E-01,NA,NA,NA,0.011449279
DNALI1,Lymphocyte,ED,Wald ratio,1,1.031,4.49E-01,NA,NA,NA,0.00894649
PTGFRN,Lymphocyte,ED,Wald ratio,1,1.011,4.59E-01,NA,NA,NA,0.00615941
C1orf43,Lymphocyte,ED,Wald ratio,1,0.989,4.69E-01,NA,NA,NA,0.008603826
LASS2,Lymphocyte,ED,Wald ratio,1,0.977,4.71E-01,NA,NA,NA,0.008965298
SETDB1,Lymphocyte,ED,Wald ratio,1,0.987,4.71E-01,NA,NA,NA,0.008965298
GPR177,Lymphocyte,ED,Inverse variance weighted,2,1.015,4.76E-01,NA,0.893151309,NA,0.016038555
IFI44,Lymphocyte,ED,Wald ratio,1,0.98,4.82E-01,NA,NA,NA,0.009163204
LRIG2,Lymphocyte,ED,Wald ratio,1,0.99,4.83E-01,NA,NA,NA,0.009088536
PTGER3,Lymphocyte,ED,Wald ratio,1,0.814,4.99E-01,NA,NA,NA,0.013456694
FCRL3,Lymphocyte,ED,Wald ratio,1,0.988,5.07E-01,NA,NA,NA,0.008257903
PIK3CD,Lymphocyte,ED,Wald ratio,1,0.953,5.11E-01,NA,NA,NA,0.008399875
C1orf200,Lymphocyte,ED,Wald ratio,1,0.927,5.11E-01,NA,NA,NA,0.008399875
PRDM16,Lymphocyte,ED,Weighted mode,3,0.986,5.11E-01,0.834020525,0.073288013,0.263486244,0.049933703
PRDM16,Lymphocyte,ED,Weighted median,3,0.991,5.22E-01,0.834020525,0.073288013,0.263486244,0.049933703
MCOLN2,Lymphocyte,ED,Wald ratio,1,1.012,5.26E-01,NA,NA,NA,0.008282786
FPGT,Lymphocyte,ED,Wald ratio,1,1.06,5.26E-01,NA,NA,NA,0.008099752
AJAP1,Lymphocyte,ED,Weighted median,3,1.012,5.33E-01,0.403830124,0.703459721,0.94840313,0.006829922
DDX20,Lymphocyte,ED,Wald ratio,1,0.962,5.33E-01,NA,NA,NA,0.011858152
NEXN,Lymphocyte,ED,Wald ratio,1,0.982,5.46E-01,NA,NA,NA,0.016214832
FUBP1,Lymphocyte,ED,Wald ratio,1,0.696,5.46E-01,NA,NA,NA,0.016754805
CGN,Lymphocyte,ED,Wald ratio,1,0.798,5.46E-01,NA,NA,NA,0.010566207
CTBS,Lymphocyte,ED,Wald ratio,1,0.664,5.58E-01,NA,NA,NA,0.012609904
AJAP1,Lymphocyte,ED,Weighted mode,3,1.014,5.70E-01,0.403830124,0.703459721,0.94840313,0.006829922
PRDM16,Lymphocyte,ED,Simple mode,3,0.988,5.78E-01,0.834020525,0.073288013,0.263486244,0.049933703
LOC388588,Lymphocyte,ED,Wald ratio,1,1.023,5.83E-01,NA,NA,NA,0.008272549
KIAA0562,Lymphocyte,ED,Wald ratio,1,1.008,5.83E-01,NA,NA,NA,0.008272549
LPAR3,Lymphocyte,ED,Inverse variance weighted,2,1.014,6.18E-01,NA,0.339113734,NA,0.007775008
EPS8L3,Lymphocyte,ED,Wald ratio,1,1.009,6.58E-01,NA,NA,NA,0.009461356
AJAP1,Lymphocyte,ED,Inverse variance weighted,3,1.007,6.61E-01,0.403830124,0.703459721,0.94840313,0.006829922
AJAP1,Lymphocyte,ED,Simple mode,3,1.012,6.66E-01,0.403830124,0.703459721,0.94840313,0.006829922
LPHN2,Lymphocyte,ED,Wald ratio,1,0.98,7.10E-01,NA,NA,NA,0.012288214
LOC100133612,Lymphocyte,ED,Wald ratio,1,1.007,7.24E-01,NA,NA,NA,0.008050477
SYT6,Lymphocyte,ED,Wald ratio,1,1.058,7.26E-01,NA,NA,NA,0.007057207
SLC22A15,Lymphocyte,ED,Wald ratio,1,0.984,7.39E-01,NA,NA,NA,0.008150278
C1orf113,Lymphocyte,ED,Wald ratio,1,0.992,7.58E-01,NA,NA,NA,0.008084869
