Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
OLFML3,Stem-cell-iPSC,OCD,Wald ratio,1,1.221,5.66E-02,NA,NA,NA,0.073392693
TYW3,Stem-cell-iPSC,OCD,Wald ratio,1,1.233,1.07E-01,NA,NA,NA,0.044437683
S100A14,Stem-cell-iPSC,OCD,Wald ratio,1,1.177,1.26E-01,NA,NA,NA,0.012512965
TSPAN2,Stem-cell-iPSC,OCD,Wald ratio,1,1.078,1.50E-01,NA,NA,NA,0.000772815
RPL5P6,Stem-cell-iPSC,OCD,Wald ratio,1,1.153,1.93E-01,NA,NA,NA,0.000472876
RIIAD1,Stem-cell-iPSC,OCD,Wald ratio,1,1.066,2.22E-01,NA,NA,NA,0.002902794
TACSTD2,Stem-cell-iPSC,OCD,Wald ratio,1,0.915,2.58E-01,NA,NA,NA,0.000457153
MRPL57P1,Stem-cell-iPSC,OCD,Wald ratio,1,0.69,2.95E-01,NA,NA,NA,0.038435217
FAM212B,Stem-cell-iPSC,OCD,Wald ratio,1,0.877,3.22E-01,NA,NA,NA,0.001852494
C1orf109,Stem-cell-iPSC,OCD,Wald ratio,1,1.088,3.25E-01,NA,NA,NA,0.000115557
KCNA10,Stem-cell-iPSC,OCD,Wald ratio,1,0.899,3.28E-01,NA,NA,NA,0.011140253
DAB1,Stem-cell-iPSC,OCD,Wald ratio,1,1.096,3.45E-01,NA,NA,NA,0.020535495
ST3GAL3,Stem-cell-iPSC,OCD,Wald ratio,1,0.963,3.54E-01,NA,NA,NA,7.81E-06
UBE2WP1,Stem-cell-iPSC,OCD,Wald ratio,1,0.941,3.98E-01,NA,NA,NA,0.000672599
COL24A1,Stem-cell-iPSC,OCD,Wald ratio,1,0.82,4.01E-01,NA,NA,NA,0.02672627
C1orf216,Stem-cell-iPSC,OCD,Wald ratio,1,0.926,5.31E-01,NA,NA,NA,4.13E-05
CNN3,Stem-cell-iPSC,OCD,Wald ratio,1,1.024,5.36E-01,NA,NA,NA,0.015575534
MEF2D,Stem-cell-iPSC,OCD,Wald ratio,1,0.972,5.70E-01,NA,NA,NA,0.011762021
VAV3,Stem-cell-iPSC,OCD,Wald ratio,1,1.025,5.74E-01,NA,NA,NA,0.015252361
C1orf141,Stem-cell-iPSC,OCD,Wald ratio,1,0.936,6.65E-01,NA,NA,NA,0.014843045
LOR,Stem-cell-iPSC,OCD,Wald ratio,1,0.978,6.70E-01,NA,NA,NA,1.47E-05
H6PD,Stem-cell-iPSC,OCD,Wald ratio,1,1.061,6.95E-01,NA,NA,NA,0.003860509
CD101,Stem-cell-iPSC,OCD,Wald ratio,1,1.036,7.35E-01,NA,NA,NA,0.000429967
RNU6-210P,Stem-cell-iPSC,OCD,Wald ratio,1,1.012,7.54E-01,NA,NA,NA,0.00221008
PAQR6,Stem-cell-iPSC,OCD,Wald ratio,1,0.978,7.95E-01,NA,NA,NA,0.000136325
ROR1,Stem-cell-iPSC,OCD,Wald ratio,1,1.025,8.09E-01,NA,NA,NA,4.22E-05
CSMD2,Stem-cell-iPSC,OCD,Wald ratio,1,0.99,8.43E-01,NA,NA,NA,4.67E-06
VDAC1P9,Stem-cell-iPSC,OCD,Wald ratio,1,1.009,8.62E-01,NA,NA,NA,9.38E-05
LRRC8B,Stem-cell-iPSC,OCD,Wald ratio,1,1.007,8.65E-01,NA,NA,NA,5.15E-06
ECHDC2,Stem-cell-iPSC,OCD,Wald ratio,1,0.997,9.38E-01,NA,NA,NA,6.29E-06
LINC01362,Stem-cell-iPSC,OCD,Inverse variance weighted,2,1.003,9.42E-01,NA,0.441640211,NA,0.018114151
KANK4,Stem-cell-iPSC,OCD,Wald ratio,1,1.001,9.85E-01,NA,NA,NA,1.09E-05
