Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
ENO4,Lymphocyte,PTSD,Wald ratio,1,0.937,1.90E-03,NA,NA,NA,0.123931142
TMEM50B,Lymphocyte,PTSD,Wald ratio,1,1.077,2.31E-03,NA,NA,NA,0.060089353
POLR2E,Lymphocyte,PTSD,Wald ratio,1,0.908,2.37E-03,NA,NA,NA,0.126530412
BTN3A2,Lymphocyte,PTSD,Wald ratio,1,1.057,3.56E-03,NA,NA,NA,0.435286636
SH3RF3,Lymphocyte,PTSD,Wald ratio,1,0.947,3.74E-03,NA,NA,NA,0.008117615
CTNNBIP1,Lymphocyte,PTSD,Wald ratio,1,1.043,3.87E-03,NA,NA,NA,0.002780096
DND1P1,Lymphocyte,PTSD,Wald ratio,1,0.959,4.02E-03,NA,NA,NA,0.338532178
USP3,Lymphocyte,PTSD,Wald ratio,1,0.944,4.69E-03,NA,NA,NA,0.261078977
GDI2,Lymphocyte,PTSD,Wald ratio,1,1.055,5.60E-03,NA,NA,NA,0.251010275
TRAK1,Lymphocyte,PTSD,Wald ratio,1,1.024,6.34E-03,NA,NA,NA,0.000349271
RPA3,Lymphocyte,PTSD,Wald ratio,1,1.03,8.07E-03,NA,NA,NA,0.003264061
KIAA1432,Lymphocyte,PTSD,Wald ratio,1,1.04,1.08E-02,NA,NA,NA,0.15687108
SRPK2,Lymphocyte,PTSD,Wald ratio,1,1.059,1.16E-02,NA,NA,NA,0.145540357
LINC00243,Lymphocyte,PTSD,Wald ratio,1,1.091,1.17E-02,NA,NA,NA,0.047474255
CCDC146,Lymphocyte,PTSD,Wald ratio,1,0.958,1.52E-02,NA,NA,NA,0.087856389
PTPN14,Lymphocyte,PTSD,Wald ratio,1,0.952,1.67E-02,NA,NA,NA,0.000892373
IL4I1,Lymphocyte,PTSD,Wald ratio,1,0.975,1.75E-02,NA,NA,NA,0.117292819
NARF,Lymphocyte,PTSD,Wald ratio,1,1.055,1.89E-02,NA,NA,NA,0.106920314
BCL2L15,Lymphocyte,PTSD,Wald ratio,1,0.962,2.03E-02,NA,NA,NA,0.051958573
ZKSCAN8,Lymphocyte,PTSD,Wald ratio,1,0.958,2.11E-02,NA,NA,NA,0.110441026
ADPGK,Lymphocyte,PTSD,Wald ratio,1,1.028,2.11E-02,NA,NA,NA,0.00087641
AP001347.6,Lymphocyte,PTSD,Inverse variance weighted,2,0.969,2.65E-02,NA,0.360987602,NA,0.127205922
ZDHHC14,Lymphocyte,PTSD,Wald ratio,1,1.053,2.67E-02,NA,NA,NA,0.07069686
CNDP2,Lymphocyte,PTSD,Wald ratio,1,0.936,2.81E-02,NA,NA,NA,0.084306325
C15orf53,Lymphocyte,PTSD,Wald ratio,1,0.935,3.26E-02,NA,NA,NA,0.060581932
ELP3,Lymphocyte,PTSD,Wald ratio,1,0.966,3.38E-02,NA,NA,NA,0.0003086
RP1-303A1.1,Lymphocyte,PTSD,Wald ratio,1,0.974,3.59E-02,NA,NA,NA,0.039269277
SLC23A2,Lymphocyte,PTSD,Wald ratio,1,0.971,3.90E-02,NA,NA,NA,0.001874431
MYO5A,Lymphocyte,PTSD,Wald ratio,1,1.037,4.08E-02,NA,NA,NA,0.071746734
MAP3K2,Lymphocyte,PTSD,Wald ratio,1,1.04,4.34E-02,NA,NA,NA,0.00273233
GLCCI1,Lymphocyte,PTSD,Wald ratio,1,1.078,4.48E-02,NA,NA,NA,0.018995461
RP11-329N22.1,Lymphocyte,PTSD,Wald ratio,1,1.054,4.49E-02,NA,NA,NA,0.015696508
OXNAD1,Lymphocyte,PTSD,Wald ratio,1,0.983,4.55E-02,NA,NA,NA,0.001133036
KLC1,Lymphocyte,PTSD,Wald ratio,1,1.035,4.55E-02,NA,NA,NA,0.055605172
IKZF1,Lymphocyte,PTSD,Wald ratio,1,1.048,4.73E-02,NA,NA,NA,0.002706315
CIITA,Lymphocyte,PTSD,Wald ratio,1,0.962,4.85E-02,NA,NA,NA,0.000908077
AC069368.3,Lymphocyte,PTSD,Wald ratio,1,1.02,4.92E-02,NA,NA,NA,0.014618522
RAMP1,Lymphocyte,PTSD,Wald ratio,1,1.041,4.99E-02,NA,NA,NA,0.049363182
TRAJ9,Lymphocyte,PTSD,Wald ratio,1,0.946,5.00E-02,NA,NA,NA,0.014550402
ANKRD12,Lymphocyte,PTSD,Wald ratio,1,1.048,5.55E-02,NA,NA,NA,0.036760802
RNASEH1-AS1,Lymphocyte,PTSD,Wald ratio,1,0.96,5.62E-02,NA,NA,NA,0.096381734
RMDN2,Lymphocyte,PTSD,Wald ratio,1,1.046,5.66E-02,NA,NA,NA,0.042692289
CTNNA2,Lymphocyte,PTSD,Wald ratio,1,0.982,5.74E-02,NA,NA,NA,0.04307695
GSK3B,Lymphocyte,PTSD,Wald ratio,1,1.052,5.81E-02,NA,NA,NA,0.005538651
GUCY1A3,Lymphocyte,PTSD,Wald ratio,1,1.039,5.86E-02,NA,NA,NA,0.001122108
RP11-125B21.2,Lymphocyte,PTSD,Wald ratio,1,0.97,5.87E-02,NA,NA,NA,0.006861284
LHFPL2,Lymphocyte,PTSD,Wald ratio,1,1.037,6.25E-02,NA,NA,NA,0.042625996
H6PD,Lymphocyte,PTSD,Wald ratio,1,1.029,6.41E-02,NA,NA,NA,0.019881897
RP11-387D10.2,Lymphocyte,PTSD,Wald ratio,1,0.948,6.55E-02,NA,NA,NA,0.006856923
HKDC1,Lymphocyte,PTSD,Wald ratio,1,1.103,6.69E-02,NA,NA,NA,0.02635378
KIAA1217,Lymphocyte,PTSD,Wald ratio,1,1.031,6.76E-02,NA,NA,NA,0.034533672
MEF2A,Lymphocyte,PTSD,Wald ratio,1,0.956,6.89E-02,NA,NA,NA,0.007755169
GCC2,Lymphocyte,PTSD,Wald ratio,1,0.934,6.98E-02,NA,NA,NA,0.036927933
MACROD2,Lymphocyte,PTSD,Wald ratio,1,0.97,7.52E-02,NA,NA,NA,0.035712115
SLC2A9,Lymphocyte,PTSD,Wald ratio,1,1.028,8.10E-02,NA,NA,NA,0.032661049
ANKRD44,Lymphocyte,PTSD,Wald ratio,1,1.052,8.33E-02,NA,NA,NA,0.032475957
BCL2,Lymphocyte,PTSD,Wald ratio,1,0.945,8.67E-02,NA,NA,NA,0.007720843
SPINT2,Lymphocyte,PTSD,Wald ratio,1,1.04,8.96E-02,NA,NA,NA,0.019070213
LMBR1,Lymphocyte,PTSD,Wald ratio,1,1.041,9.01E-02,NA,NA,NA,0.000753997
ZNF767,Lymphocyte,PTSD,Wald ratio,1,1.046,9.06E-02,NA,NA,NA,0.033293049
