Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
HAPLN4,Lymphocyte,SCZ,Wald ratio,1,0.472,7.66E-13,NA,NA,NA,0.999999998
KIAA0892,Lymphocyte,SCZ,Wald ratio,1,0.003,7.66E-13,NA,NA,NA,0.999999998
VSIG2,Lymphocyte,SCZ,Wald ratio,1,1.083,1.38E-11,NA,NA,NA,0.999999331
NRGN,Lymphocyte,SCZ,Wald ratio,1,1.084,1.38E-11,NA,NA,NA,0.999731027
ITIH4,Lymphocyte,SCZ,Wald ratio,1,1.093,7.54E-11,NA,NA,NA,0.999999869
AS3MT,Lymphocyte,SCZ,Wald ratio,1,1.113,1.12E-09,NA,NA,NA,0.999997924
MAD1L1,Lymphocyte,SCZ,Inverse variance weighted,2,0.95,1.57E-09,NA,0.26104682,NA,0.838250468
TSNARE1,Lymphocyte,SCZ,Wald ratio,1,1.053,3.49E-09,NA,NA,NA,0.99999362
PLCL2,Lymphocyte,SCZ,Wald ratio,1,0.906,5.48E-09,NA,NA,NA,0.999990423
ABCB9,Lymphocyte,SCZ,Wald ratio,1,0.945,7.14E-09,NA,NA,NA,0.99998707
ARL6IP4,Lymphocyte,SCZ,Wald ratio,1,0.941,7.14E-09,NA,NA,NA,0.999988226
MAP7D1,Lymphocyte,SCZ,Wald ratio,1,1.426,2.78E-08,NA,NA,NA,0.99995516
TRAPPC3,Lymphocyte,SCZ,Wald ratio,1,1.132,2.78E-08,NA,NA,NA,0.99995516
LOC339674,Lymphocyte,SCZ,Wald ratio,1,1.12,2.82E-08,NA,NA,NA,0.999952081
ALMS1P,Lymphocyte,SCZ,Wald ratio,1,0.927,3.04E-08,NA,NA,NA,0.999955493
ELAC2,Lymphocyte,SCZ,Wald ratio,1,0.18,7.76E-08,NA,NA,NA,0.999889181
CYP7B1,Lymphocyte,SCZ,Wald ratio,1,1.066,1.50E-07,NA,NA,NA,0.999759083
SNX19,Lymphocyte,SCZ,Wald ratio,1,1.077,3.99E-07,NA,NA,NA,0.999373656
NDRG4,Lymphocyte,SCZ,Wald ratio,1,1.12,7.69E-07,NA,NA,NA,0.998849952
TNXB,Lymphocyte,SCZ,Wald ratio,1,0.894,1.25E-06,NA,NA,NA,0.998244093
SLC44A4,Lymphocyte,SCZ,Wald ratio,1,0.836,1.25E-06,NA,NA,NA,0.998244278
CACNA2D4,Lymphocyte,SCZ,Inverse variance weighted,2,1.063,1.82E-06,NA,0.584432826,NA,0.038627131
MMP16,Lymphocyte,SCZ,Wald ratio,1,0.556,2.26E-06,NA,NA,NA,0.996895735
GDNF,Lymphocyte,SCZ,Wald ratio,1,0.886,2.87E-06,NA,NA,NA,0.996495216
TFAP2B,Lymphocyte,SCZ,Wald ratio,1,0.816,3.14E-06,NA,NA,NA,0.997047467
LRRC4,Lymphocyte,SCZ,Wald ratio,1,1.046,4.31E-06,NA,NA,NA,0.994081011
MIR130A,Lymphocyte,SCZ,Wald ratio,1,0.94,4.81E-06,NA,NA,NA,0.993887503
SERPING1,Lymphocyte,SCZ,Wald ratio,1,0.91,4.81E-06,NA,NA,NA,0.993887503
UBE2L6,Lymphocyte,SCZ,Wald ratio,1,0.94,4.81E-06,NA,NA,NA,0.993887503
PSME4,Lymphocyte,SCZ,Wald ratio,1,1.164,5.52E-06,NA,NA,NA,0.992746385
C11orf87,Lymphocyte,SCZ,Wald ratio,1,1.223,6.32E-06,NA,NA,NA,0.992004854
