Psychiatric disorder,Risk phenotype,Method,Beta,Standard error,P-value,OR,OR_lci95,OR_uci95,Q Pvalue(MREgger),Q Pvalue(IVW),Intercept PValue
ALZ,Alzheimer's disease or family history of Alzheimer's disease ,Weighted median,1.004995979,0.034890771,1.91E-182,2.73E+00,2.55E+00,2.93E+00,1.20E-01,1.09E-03,0.000224109
DEP,Neuroticism score ,Inverse variance weighted,0.264647952,0.014304531,2.03E-76,1.30E+00,1.27E+00,1.34E+00,1.55E-10,6.41E-11,0.134958317
ADHD,Educational attainment,Inverse variance weighted,0.70985886,0.038434657,3.65E-76,2.03E+00,1.89E+00,2.19E+00,7.40E-79,6.12E-79,0.267199899
DEP,Neuroticism score ,Weighted median,0.246649815,0.015409041,1.15E-57,1.28E+00,1.24E+00,1.32E+00,1.55E-10,6.41E-11,0.134958317
DEP,Unable to work because of sickness or disability,Inverse variance weighted,-1.760872757,0.111488798,3.41E-56,1.72E-01,1.38E-01,2.14E-01,8.40E-02,8.69E-02,0.9157505
ADHD,Body mass index (BMI) ,Inverse variance weighted,0.560470038,0.04288177,4.88E-39,1.75E+00,1.61E+00,1.91E+00,9.30E-35,1.63E-37,0.000585481
ADHD,Educational attainment,Weighted median,0.643208277,0.053614507,3.69E-33,1.90E+00,1.71E+00,2.11E+00,7.40E-79,6.12E-79,0.267199899
ADHD,Qualifications: College or University degree ,Inverse variance weighted,-1.673530603,0.141402639,2.57E-32,1.88E-01,1.42E-01,2.47E-01,1.18E-25,1.37E-25,0.526042364
ADHD,smoking initiation ,Weighted median,0.878225418,0.078838935,8.06E-29,2.41E+00,2.06E+00,2.81E+00,3.61E-20,6.44E-21,0.153206716
ADHD,smoking initiation ,Inverse variance weighted,0.88437031,0.080454793,4.17E-28,2.42E+00,2.07E+00,2.84E+00,3.61E-20,6.44E-21,0.153206716
ALZ,Alzheimer's disease or family history of Alzheimer's disease ,MR Egger,1.085469661,0.032688268,6.15E-27,2.96E+00,2.78E+00,3.16E+00,1.20E-01,1.09E-03,0.000224109
DEP,Unable to work because of sickness or disability,Weighted median,-1.505130118,0.142365566,4.01E-26,2.22E-01,1.68E-01,2.93E-01,8.40E-02,8.69E-02,0.9157505
ALZ,Alzheimer's disease or family history of Alzheimer's disease ,Weighted mode,1.024978269,0.034438766,6.21E-26,2.79E+00,2.61E+00,2.98E+00,1.20E-01,1.09E-03,0.000224109
ADHD,Unable to work because of sickness or disability,Inverse variance weighted,-2.540584244,0.254579635,1.87E-23,7.88E-02,4.79E-02,1.30E-01,4.62E-43,5.56E-43,0.728913603
ED,Educational attainment,Inverse variance weighted,0.528804076,0.054139739,1.55E-22,1.70E+00,1.53E+00,1.89E+00,4.18E-02,4.05E-02,0.177159832
PTSD,Neuroticism score ,Inverse variance weighted,0.295704629,0.030795125,7.82E-22,1.34E+00,1.27E+00,1.43E+00,1.78E-29,3.12E-29,0.849084363
ADHD,Qualifications: College or University degree ,Weighted median,-1.550204638,0.165383365,7.02E-21,2.12E-01,1.53E-01,2.93E-01,1.18E-25,1.37E-25,0.526042364
ADHD,Age at first birth ,Inverse variance weighted,-0.397642833,0.042764667,1.43E-20,6.72E-01,6.18E-01,7.31E-01,5.82E-09,2.33E-09,0.22057734
ADHD,Age at first birth ,Weighted median,-0.369299385,0.043462322,1.95E-17,6.91E-01,6.35E-01,7.53E-01,5.82E-09,2.33E-09,0.22057734
PTSD,Unable to work because of sickness or disability,Inverse variance weighted,-2.708305848,0.319347204,2.24E-17,6.66E-02,3.56E-02,1.25E-01,2.55E-04,2.53E-04,0.299104165
ADHD,Body mass index (BMI) ,Weighted median,0.466332669,0.054989813,2.25E-17,1.59E+00,1.43E+00,1.78E+00,9.30E-35,1.63E-37,0.000585481
ALZ,Alzheimer's disease or family history of Alzheimer's disease ,Simple mode,1.040565954,0.073666253,8.68E-16,2.83E+00,2.45E+00,3.27E+00,1.20E-01,1.09E-03,0.000224109
