Psychiatric disorder,Category name,Risk factor,Source,Method,P-value,OR
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,ARTN,eQTL_Brain Putamen,Wald ratio,5.42E-09,0.875
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,ARTN,eQTL_Brain Frontal Cortex,Wald ratio,7.61E-09,0.886
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,ARTN,eQTL_Brain Amygdala,Wald ratio,9.42E-09,0.888
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,ARTN,eQTL_Brain Anterior cingulate cortex BA24,Wald ratio,9.42E-09,0.908
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,ARTN,eQTL_Brain Spinal,Wald ratio,9.42E-09,0.89
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,ARTN,eQTL_Meta 10 Brain Regions,Wald ratio,9.42E-09,1.089
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,REELD1,eQTL_Brain Cerebellar Hemisphere,Wald ratio,1.91E-08,0.933
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,LSM6,eQTL_Brain Cerebellar Hemisphere,Wald ratio,1.91E-08,0.87
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,REELD1,eQTL_Brain Nucleus,Wald ratio,1.91E-08,0.916
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,LSM6,eQTL_Brain Caudate,Wald ratio,4.24E-08,0.829
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,REELD1,eQTL_Brain Caudate,Wald ratio,4.24E-08,0.927
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,TIE1,eQTL_Brain Cortex,Wald ratio,1.36E-07,0.835
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,TIE1,eQTL_Brain Hippocampus,Wald ratio,1.43E-07,0.849
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,MED8,eQTL_Brain Spinal,Wald ratio,2.20E-07,1.18
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,ARTN,eQTL_Brain Cerebellar Hemisphere,Wald ratio,3.63E-07,0.937
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,ARTN,eQTL_Brain Cortex,Wald ratio,3.63E-07,0.886
